date,SP500,NYSE,OIL,TREASURY,DOWJONES
2024-05-01,5192.34,18085.12,78.42,4.32,39127.85
2024-05-02,5205.18,18102.47,78.65,4.31,39185.42
2024-05-03,5218.73,18124.35,79.10,4.29,39210.67
2024-05-06,5210.45,18115.60,78.85,4.30,39195.30
2024-05-07,5225.62,18138.74,79.25,4.28,39248.55
2024-05-08,5231.80,18145.90,78.90,4.27,39272.10
2024-05-09,5219.55,18120.33,78.55,4.29,39230.48
2024-05-10,5238.42,18155.68,79.45,4.26,39305.72
2024-05-13,5245.10,18168.25,79.70,4.25,39338.90
2024-05-14,5252.38,18180.50,79.95,4.24,39372.15
