ticker,date,open,high,low,close,volume
BCH,2024-05-01,22.15,22.38,22.01,22.30,1245300
BCH,2024-05-02,22.32,22.55,22.18,22.41,1102700
BCH,2024-05-03,22.40,22.62,22.29,22.53,987400
BCH,2024-05-06,22.50,22.71,22.35,22.48,1058200
BCH,2024-05-07,22.45,22.68,22.33,22.60,1134600
EC,2024-05-01,11.05,11.22,10.95,11.18,3521400
EC,2024-05-02,11.20,11.35,11.08,11.25,3287600
EC,2024-05-03,11.23,11.40,11.12,11.32,2945300
EC,2024-05-06,11.30,11.48,11.21,11.38,3102800
EC,2024-05-07,11.35,11.52,11.24,11.42,3215700
